valid,tmpf,dwpf,relh,drct,sknt,mslp,vsby,feel
7-Sep,25.10185185,13.18518519,48.66833333,264.1666667,4.62996,101.4083333,16.1,24.97731481
8-Sep,26.48290598,20.65384615,70.64692308,180.7692308,7.518738462,101.0038462,16.1,27.62136752
9-Sep,21.12169312,15.0978836,75.13190476,166.1904762,1.837285714,100.7769231,15.79333333,21.12169312
10-Sep,22.42735043,9.606837607,45.10153846,316.9230769,7.7166,101.2453846,16.1,22.42735043
11-Sep,24.19230769,9.47008547,39.79615385,220.7692308,4.313381538,102.0876923,16.1,24.19230769
12-Sep,26.32051282,15.91880342,53.46923077,232.3076923,5.856701538,101.7246154,16.1,26.53290598
13-Sep,27.85897436,17.14957265,52.36,310.7692308,5.737984615,101.6061538,16.1,28.33034188
14-Sep,24.66239316,15.95299145,58.99153846,113.0769231,3.878086154,101.7453846,16.1,24.71111111
15-Sep,28.07264957,20.28205128,63.30692308,176.9230769,4.392526154,101.3669231,16.1,29.61111111
16-Sep,23.59126984,17.41666667,68.43428571,52.85714286,6.099788571,102.2469231,16.1,23.59126984
17-Sep,22.69312169,19.2010582,80.73,49.52380952,5.879314286,102.2776923,15.10333333,22.69312169
18-Sep,26.64814815,17.88148148,59.66866667,262.8571429,2.640792,101.6384615,16.1,27.04703704
19-Sep,23.14957265,10.23504274,44.78461538,123.8461538,3.482363077,102.1038462,16.1,23.14957265
20-Sep,22.26068376,13.63675214,58.56923077,104.6153846,3.917658462,102.7061538,16.1,22.26068376
21-Sep,22.64814815,15.66296296,64.89266667,72.14285714,4.45848,102.6507692,16.1,22.64814815
22-Sep,24.40972222,19.97569444,76.556875,162.5,6.2054325,101.7853846,16.1,24.48958333
23-Sep,26.21637427,20.10818713,69.46894737,161.5789474,8.122736842,101.275,14.27815789,26.95497076
24-Sep,21.40598291,8.564102564,45.64769231,281.5384615,4.155092308,101.6946154,16.1,21.40598291
25-Sep,22.29487179,10.12820513,47.01538462,49.23076923,1.859898462,101.5076923,16.1,22.29487179
26-Sep,21.35470085,6.982905983,40.64769231,295.3846154,6.727292308,101.2138462,16.1,21.35470085
27-Sep,24.40598291,8.196581197,35.94153846,235.3846154,6.410713846,101.2976923,16.1,24.22051282
28-Sep,21.8037037,15.04814815,66.00533333,270.6666667,3.978336,100.9823077,15.56333333,21.8037037
29-Sep,18.67521368,5.217948718,41.69,282.3076923,4.906966154,101.5092308,16.1,18.67521368
30-Sep,17.54700855,6.384615385,48.3,239.2307692,4.036375385,101.8953846,16.1,17.54700855
1-Oct,18.03418803,5.247863248,43.88846154,293.3333333,3.60108,102.3253846,16.1,18.03418803
2-Oct,22.08119658,8.931623932,43.68461538,253.0769231,4.11552,101.9261538,16.1,22.08119658
3-Oct,23.76923077,13.32905983,53.83230769,200,2.967923077,101.3984615,16.1,23.74786325
4-Oct,20.32804233,17.74867725,85.15047619,54.76190476,6.050794286,101.4646154,12.80333333,20.32804233
5-Oct,17.45751634,13.29411765,76.61941176,82.35294118,3.631341176,102.3907692,15.72117647,17.45751634
6-Oct,19.58333333,12.95833333,65.99,63.57142857,1.8326925,102.7761538,16.1,19.58333333
7-Oct,21.96153846,14.51709402,63.68076923,89.09090909,1.780753846,102.4330769,16.1,21.96153846
8-Oct,22.01282051,15.85042735,68.27923077,120.7692308,3.60108,102.0630769,15.85230769,22.01282051
9-Oct,18.97435897,13.3034188,69.94,60,6.766864615,102.3361538,16.1,18.97435897
10-Oct,18.72222222,15.78282828,83.07772727,56.36363636,8.137505455,102.0930769,12.55068182,18.72222222
11-Oct,20.84920635,14.06746032,65.51,57.14285714,7.128668571,101.8361538,16.1,20.84920635
12-Oct,19.73202614,14.00653595,69.80941176,66.25,2.905072941,101.9115385,16.1,19.73202614
13-Oct,20.52287582,15.28431373,71.94588235,168,2.088021176,101.5930769,16.1,20.52287582
14-Oct,23.32478632,14.0042735,56.75076923,304.6153846,4.155092308,101.3130769,16.1,23.32478632
15-Oct,24.14529915,14.52991453,55.88461538,119.0909091,2.87229,101.2538462,16.1,24.13675214
16-Oct,22.51709402,15.84615385,66.04076923,200,6.727292308,100.5592308,16.1,22.51709402
17-Oct,15.75793651,6.126984127,53.43071429,290.7142857,7.128668571,100.8823077,15.755,15.75793651
18-Oct,13.9957265,3.794871795,50.61692308,307.6923077,7.637455385,101.0761538,16.1,13.9957265
19-Oct,16.93589744,2.807692308,40.38384615,266.1538462,6.291996923,101.4684615,16.1,16.93589744
20-Oct,22.56410256,7.427350427,38.67230769,273.0769231,5.183972308,101.5530769,16.1,22.52820513
21-Oct,21.98809524,10.06746032,48.105,198.5714286,4.997417143,101.4007692,16.1,21.98809524
22-Oct,19.86752137,9.260683761,50.80230769,300.7692308,4.11552,101.1676923,16.1,19.86752137
23-Oct,13.88888889,4.952991453,55.08307692,308.3333333,3.165784615,101.4492308,16.1,13.88888889
24-Oct,13.97008547,3.837606838,50.88076923,212.3076923,2.928350769,102.1230769,16.1,13.97008547
25-Oct,21.00396825,15.94047619,73.245,180.7692308,3.895045714,101.1807692,16.1,21.00396825
26-Oct,16.22705314,13.12077295,82.32782609,135.6521739,5.166766957,99.46307692,11.305,16.22705314
27-Oct,15.21794872,7.692307692,60.88076923,327.6923077,7.597883077,100.5353846,16.1,15.21794872
28-Oct,13.05228758,5.5,60.22529412,58.82352941,3.964214118,101.4223077,16.1,13.05228758
29-Oct,13.42901235,6.219135802,61.69888889,76.66666667,8.17388,101.0392308,16.1,13.42901235
30-Oct,16.80902778,11.90972222,73.7125,110,5.208705,100.3207692,16.1,16.80902778
31-Oct,17.06597222,10.11458333,64.624375,247.5,5.337315,100.2138462,16.1,17.06597222
1-Nov,15.04166667,1.842592593,41.7575,305,6.25902,101.7975,16.1,15.04166667
2-Nov,11.9017094,0.230769231,44.97384615,248.4615385,3.878086154,102.1876923,16.1,11.9017094
3-Nov,10.18376068,-1.846153846,43.63846154,314.6153846,4.986110769,102.3838462,16.1,9.55
4-Nov,9.346153846,-4.474358974,38.67923077,76.92307692,3.126212308,102.6530769,16.1,8.756837607
5-Nov,9.931623932,-3.726495726,38.80384615,227.6923077,4.11552,102.7823077,16.1,9.052136752
6-Nov,10.41025641,-2.294871795,41.71384615,70,2.690916923,102.8607692,16.1,10.05940171
7-Nov,11.50854701,-0.974358974,42.76615385,105.3846154,1.939043077,102.1138462,16.1,11.3974359
8-Nov,15.98290598,3.290598291,42.90923077,188.4615385,3.680224615,101.9992308,16.1,15.98290598
9-Nov,18.63675214,5.700854701,43.07923077,228.4615385,2.05776,101.7723077,16.1,18.63675214
10-Nov,17.04700855,3.081196581,40.42615385,296.9230769,5.896273846,101.8823077,16.1,17.04700855
11-Nov,13.7991453,6.286324786,60.76846154,71.53846154,4.432098462,102.5007692,16.1,13.7991453
12-Nov,17.93518519,12.15123457,71.15111111,215,6.60198,101.1892308,10.465,17.93518519
13-Nov,12.15555556,4.852777778,61.9445,217.5,8.23104,100.6630769,14.872375,10.62166667
14-Nov,8.230769231,-1.431623932,50.61538462,221.6666667,4.036375385,101.2169231,16.1,5.882478632
15-Nov,8.075396825,-0.376984127,55.80928571,270,7.385888571,101.0061538,16.1,4.910714286
16-Nov,8.683760684,-4.226495726,40.82076923,272.3076923,5.421406154,102.0684615,16.1,6.752991453
17-Nov,12.11538462,3.358974359,56.07923077,167.2727273,4.432098462,102.4330769,16.1,11.91880342
18-Nov,18.02136752,9.051282051,56.39,207.6923077,4.511243077,101.4415385,16.1,18.02136752
19-Nov,8.098290598,-4.393162393,41.12538462,303.8461538,8.468473846,102.5269231,16.1,4.084615385
20-Nov,7.346153846,-4.837606838,42.44076923,130.9090909,2.967923077,103.3207692,16.1,5.454700855
21-Nov,11.54365079,2.384920635,54.77357143,199.2857143,3.968537143,102.2969231,16.1,11.30515873
22-Nov,9.14957265,0.679487179,56.12538462,310.7692308,6.133707692,101.0807692,16.1,7.521367521
23-Nov,4.615384615,-7.179487179,42.53,318.4615385,8.151895385,101.6561538,16.1,-0.274358974
24-Nov,5.858974359,-8.256410256,36.19538462,302.3076923,4.432098462,102.6484615,16.1,2.695299145
25-Nov,11.20512821,-5.132478632,32.33230769,200.7692308,2.532627692,101.4830769,16.1,10.81923077
26-Nov,7.705882353,0.189542484,60.11588235,279.4117647,8.442868235,100.3176923,14.77411765,3.658496732
27-Nov,3.901709402,-7.008547009,45.01230769,306.1538462,8.270612308,101.1784615,16.1,-1.286324786
28-Nov,3.601851852,-1.635802469,68.71611111,75,2.0006,101.0953846,14.66888889,1.711419753
29-Nov,4.829059829,-3.602564103,54.64076923,327.6923077,6.608575385,101.2684615,16.1,0.498290598
30-Nov,4.623931624,-4.064102564,53.78615385,219.2307692,4.075947692,101.4984615,16.1,1.478632479
1-Dec,8.623931624,-4.346153846,39.85538462,233.0769231,4.036375385,102.0838462,16.1,6.694017094
2-Dec,13.76495726,5.444444444,57.69538462,216.1538462,5.302689231,100.49,16.1,13.76495726
3-Dec,7.474358974,-5.35042735,40.00923077,306.1538462,7.954033846,101.4592308,16.1,3.441025641
4-Dec,7.551282051,-2.987179487,47.42923077,159.1666667,3.244929231,101.9292308,16.1,5.65982906
5-Dec,8.183760684,-7.260683761,32.82769231,199.2307692,2.809633846,102.8161538,16.1,6.477777778
6-Dec,13.07555556,10.08222222,82.2556,194,6.1321248,100.7392308,12.7512,13.07555556
7-Dec,5.094017094,-7.401709402,40.07461538,283.0769231,4.590387692,102.16,16.1,1.788034188
8-Dec,4.859259259,-0.92962963,66.344,66.66666667,4.218408,101.4215385,15.67066667,1.577037037
9-Dec,3.192307692,-8.111111111,43.55461538,233.0769231,4.234236923,102.3261538,16.1,-0.225641026
10-Dec,9.085470085,-0.303418803,52.04769231,175.8333333,2.809633846,102.0807692,16.1,7.823504274
11-Dec,13.88636364,11.30555556,84.84681818,167.2727273,4.583192727,100.5184615,7.537727273,13.83383838
12-Dec,8.363247863,-7.521367521,31.90461538,293.8461538,6.846009231,102.0792308,16.1,5.135042735
13-Dec,10.13247863,-7.794871795,28.04230769,236.1538462,5.183972308,102.3715385,16.1,9.314957265
14-Dec,10.31196581,-5.508547009,33.22615385,214.6153846,3.878086154,103.3107692,16.1,9.626923077
15-Dec,10.32142857,1.301587302,54.20571429,103.5714286,4.37274,103.3746154,16.1,9.698015873
16-Dec,15.67948718,4.264957265,47.50153846,225.3846154,5.223544615,101.6238462,16.1,15.67948718
17-Dec,14.22649573,-7.598290598,22.24692308,297.6923077,5.698412308,101.8738462,16.1,14.22649573
18-Dec,5.83625731,2.733918129,80.79315789,61.57894737,3.194943158,101.7253846,11.18526316,3.375146199
19-Dec,4.096296296,-4.822222222,52.46066667,330.6666667,7.7166,101.9069231,16.1,-0.892222222
AverageAll,18.07967573,8.572841645,55.87905586,198.4996868,4.792834062,101.657652,15.57779511,17.68238904
